Location_id,Field 2,Phone number,Toll-free phone number,TTY phone number,Use the same address as the organization,Location,Is this location open at least weekly,Hours of operation,Recurring dates,Holiday schedule (location closed),Income eligibility and fees,Income standard for eligibility,Max percentage of income standard,Sliding scale fees description,Flat fee description,Location takes legal volunteers?,A licensed attorney is available to support legal volunteers.,Malpractice insurance is provided for legal volunteers.,Attachments,Research and/or clerking services are provided to volunteers.,Same phone number as organization?,"The office, equipment,  and supplies are available to volunteers to conduct pro bono work.",Location serves all of Illinois,Service area limited to specific,Cities,Counties,Zip codes,Organization ID,Services
111236,Enlace Community Activism Law Program,773-542-9233,,,No,,Yes,Sunday: Closed Monday: Closed Tuesday: 17:00-20:00  Wednesday: Closed Thursday: Closed Friday: Closed Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to eligible persons/entities,Federal Poverty Level,185%,,,No,,,,,No,,No,Zip codes,,,"60608

    60623

    60624

    60632

    60644",24726,
110951,Willow Branch Township Library,(217) 669-2312,,,No,,Yes,"Sunday: Closed Monday: 13:00-20:00  Tuesday: 9:00-12:00 , 13:00-17:00  Wednesday: 13:00-20:00  Thursday: Closed Friday: 13:00-17:00  Saturday: 9:00-13:00",,"New Year's Day

    Independence Day

    Thanksgiving

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Piatt,,25581,110956
110891,West Chicago Public Library District,(630) 231-1552,,,No,,Yes,Sunday: 13:00-17:00  Monday: 9:00-21:00  Tuesday: 9:00-21:00  Wednesday: 9:00-21:00  Thursday: 9:00-21:00  Friday: 9:00-17:00  Saturday: 9:00-17:00,,"New Year's Day

    New Year's Eve

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,DuPage,,51926,110896
107056,World Relief Aurora office,(630) 906-9546,,,No,,Yes,"Sunday: Closed Monday: 8:30-12:00 , 13:00-17:00  Tuesday: 8:30-12:00 , 13:00-17:00  Wednesday: 8:30-12:00  Thursday: 8:30-12:00 , 13:00-17:00  Friday: 8:30-12:00 , 13:00-17:00  Saturday: Closed",,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Flat fee regardless of income,Federal Poverty Level,,,"We charge a flat fee for all cases, with exceptions based on income level.",Yes,,,,,No,,Yes,Counties,,,,107041,
107051,World Relief DuPage/Aurora,(630) 462-7660,630-462.7660,,Yes,,Yes,"Sunday: Closed Monday: 8:30-12:00 , 13:00-17:00  Tuesday: 8:30-12:00  Wednesday: 8:30-12:00  Thursday: 8:30-12:00 , 1:00-17:00  Friday: 8:30-12:00 , 13:00-17:00  Saturday: Closed",,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Flat fee regardless of income,Federal Poverty Level,150%,,"We charge a flat fee for all cases, with exceptions based on income level.",Yes,,,,,Yes,,Yes,Counties,,,,107041,107096
106701,METEC,(309) 676-3832,,,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-19:30  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: Closed Saturday: Closed,,,Free to everyone,,,,,No,,,,,No,,No,Counties,,Peoria,,25566,106706
105911,McCutcheon Legal Clinic,(312) 341-1070,,,No,,No,,"Repeats every month on January, February, March, April, May, September, October, November, December on the first Wednesday 100 times except Wed Jan 02 2019. Also includes Wed Jan 16 2019.Wednesday, October 4, 2017 - 4:30pm to 6:30pm","New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to eligible persons/entities,Federal Poverty Level,150%,,,No,,,,,Yes,,No,Counties,,Cook,,25231,105921
97541,Access Living,312-640-2100,,(312) 640-2102,Yes,,Yes,Sunday: Closed Monday: 8:30-17:00  Tuesday: 8:30-17:00  Wednesday: 8:30-17:00  Thursday: 8:30-17:00  Friday: 8:30-17:00  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,Yes,,,,,Yes,,No,Counties,,Cook,,24441,"97546,Unnamed record"
95461,Illinois JusticeCorps Statewide Operations,312-726-6072,,,No,,Yes,Sunday: Closed Monday: 8:00-16:30  Tuesday: 8:00-16:30  Wednesday: 8:00-16:30  Thursday: 8:00-16:30  Friday: 8:00-16:30  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve",Free to everyone,,,,,No,,,,,Yes,,Yes,,,,,25031,
95451,Illinois JusticeCorps,312-726-6072,,,No,,Yes,Sunday: Closed Monday: 9:00-16:00  Tuesday: 9:00-16:00  Wednesday: 9:00-16:00  Thursday: 9:00-16:00  Friday: 9:00-16:00  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,Yes,,,,,Yes,,Yes,,,,,25031,95456
93656,Main office,312-666-1323,,,Yes,,Yes,Sunday: Closed Monday: 10:00-4:00  Tuesday: 10:00-4:00  Wednesday: 10:00-4:00  Thursday: 10:00-4:00  Friday: 10:00-4:00  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to eligible persons/entities,Federal Poverty Level,200%,,,No,,,,,Yes,,No,Cities,Chicago,,,93646,
91716,Rolling Meadows Courthouse Self-Help Center,(847) 590-8955,,,No,,Yes,Sunday: Closed Monday: Closed Tuesday: Closed Wednesday: Closed Thursday: Closed Friday: 9:30-12:30  Saturday: Closed,,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Cook,,91676,91721
91701,Legal Self Help Web Center - Legal Aid Society of Metropolitan Family Services,no phone,,,No,,Yes,"Sunday: Closed Monday: 8:30-12:00 , 13:00-17:00  Tuesday: 8:30-12:00 , 13:00-17:00  Wednesday: 8:30-12:00 , 13:00-17:00  Thursday: 8:30-12:00 , 13:00-17:00  Friday: 8:30-12:00 , 13:00-17:00  Saturday: Closed",,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Christmas Day",Free to everyone,,,,,No,,,,,Yes,,No,Counties,,Cook,,91676,91706
91686,Chicago-Kent Self-Help Web Center,no phone,,,No,,Yes,Sunday: Closed Monday: 9:00-16:30  Tuesday: 9:00-16:30  Wednesday: 9:00-16:30  Thursday: 9:00-16:30  Friday: 9:00-16:30  Saturday: Closed,,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Christmas Day",Free to everyone,,,,,No,,,,,Yes,,No,Counties,,Cook,,91676,91691
91681,Resource Center for People without Lawyers,no phone,,,Yes,,Yes,Sunday: Closed Monday: 8:00-16:00  Tuesday: 8:00-16:00  Wednesday: 8:00-16:00  Thursday: 8:00-16:00  Friday: 8:00-16:00  Saturday: Closed,,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Christmas Day",Free to everyone,,,,,No,,,,,Yes,,No,Counties,,Cook,,91676,91696
91046,Deerfield Public Library,(847) 945-3311,,,No,,Yes,Sunday: 13:00-17:00  Monday: 9:00-21:00  Tuesday: 9:00-21:00  Wednesday: 9:00-21:00  Thursday: 9:00-21:00  Friday: 9:00-18:00  Saturday: 9:00-17:00,,"New Year's Day

    New Year's Eve

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,No,,,,,No,,No,Counties,,Lake,,25241,91051
90821,Southern Illinois Region Office,(618) 457-7930,(800) 758-0559,(800) 610-2779,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,Yes,,,,,No,,Yes,,,,,24876,
90816,Northwestern Illinois Region Office,(309) 786-6868,(800) 758-6869,(800) 610-2779,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,Yes,,,,,No,,Yes,,,,,24876,
90811,Central Illinois Region Office,(217) 544-0464,(800) 758-0464,(800) 610-2779,No,,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Free to everyone,,,,,Yes,,,,,No,,Yes,,,,,24876,
90531,Peoria Peoria Friendship House,309-829-8703,,,No,,No,,"Repeats every month on the 1 of March, April, May, June, July. Tuesday, December 6, 2016 - 10:00am to 5:00pm",,Sliding scale based on income,,,nnnn,,No,,,,,Yes,,Yes,Zip codes,,,,25791,90536
90261,Main Office,(618) 271-7820,,,Yes,,Yes,Sunday: Closed Monday: 8:00-16:00  Tuesday: 8:00-16:00  Wednesday: 8:00-16:00  Thursday: 8:00-16:00  Friday: 8:00-16:00  Saturday: Closed,,"New Year's Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Christmas Day",Free to eligible persons/entities,Federal Poverty Level,150%,,,Yes,,,,,Yes,,No,Counties,,"Clinton

    Madison

    Monroe

    Randolph

    Saint Clair

    Washington",,90256,91326
89631,The Immigration Project-Main Office,309-829-8703,,,Yes,,Yes,Sunday: Closed Monday: 10:00-17:00  Tuesday: 10:00-17:00  Wednesday: Closed Thursday: 10:00-17:00  Friday: 10:00-17:00  Saturday: Closed,,"New Year's Day

    New Year's Eve

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day",Sliding scale based on income,,,"The initial consultation fee is $25. Other services are free or involve sliding scale fees. Sliding scale fees depend on case type, family size and household income.",,Yes,,,,,Yes,,No,Counties,,"Adams

    Alexander

    Bond

    Brown

    Bureau

    Calhoun

    Cass

    Champaign

    Christian

    Clark

    Clay

    Clinton

    Coles

    Crawford

    Cumberland

    Dewitt

    Douglas

    Edgar

    Edwards

    Effingham

    Fayette

    Ford

    Franklin

    Fulton

    Gallatin

    Greene

    Grundy

    Hamilton

    Hancock

    Hardin

    Henderson

    Henry

    Iroquois

    Jackson

    Jasper

    Jefferson

    Jersey

    Johnson

    Kankakee

    Knox

    La Salle

    Lawrence

    Livingston

    Logan

    Macon

    Macoupin

    Madison

    Marion

    Marshall

    Mason

    Massac

    McDonough

    McLean

    Menard

    Mercer

    Monroe

    Montgomery

    Morgan

    Moultrie

    Peoria

    Perry

    Piatt

    Pope

    Pulaski

    Putnam

    Randolph

    Richland

    Rock Island

    Saint Clair

    Saline

    Sangamon

    Schuyler

    Scott

    Shelby

    Stark

    Tazewell

    Union

    Vermilion

    Wabash

    Warren

    Wayne

    White

    Will

    Williamson

    Woodford",,25791,89636
