Organization ID,Title,Alternate name,Body,Organization provides services to the public?,Display physical address to public users?,Mailing address is the same as the physical address,Physical address,Mailing address,Phone number,Website address,Email,Associated email domain(s),Imported table,Services
25231,LAF,Legal Assistance Foundation,"LAF (formerly the Legal Assistance Foundation) provides free civil legal services to individuals and families in Chicago and suburban Cook County who are unable to afford an attorney. Households with limited assets and income at or below 150% of the federal poverty line may qualify for free legal help. We have higher income limits for homeowners at risk of foreclosure, seniors, veterans, people living with HIV-AIDS, and domestic violence survivors seeking protection from an abuser.",Yes,No,,,"120 South LaSalle StreetSuite 900Chicago, IL 60603",(312) 341-1070,http://www.lafchicago.org,jgallo@lafchicago.org,lafchicago.org,"132736,129431,129426,105911,36171,36126,30051,30041,30026,30011,30001,29986,29971,29956,29936,29891,27106,26281,26101,26111,26116,26126","132741,129441,105921,36181,32796,30301,30066,30061,30056,30046,30036,30031,30021,30016,30006,29991,29976,29966,29941,29926,29906,29881,29866,29856,29846,29836,29821,29811,29801,29791"
25236,Lake County Bar Association,LCBA,"The LCBA online ""Find A Lawyer"" tool provides a way to locate a Lake County attorney in the particular areas of law in which they concentrate.If you do not find an area or attorney that fits your need you might want to call the Lawyer Referral Service, which helps people in need of a Lake County, Illinois attorney.",Yes,No,,,"300 Grand Ave STE AWaukegan, IL 60085",(847) 244-3143,http://www.lakebar.org/find-a-lawyer,info@lakebar.org,,27111,68096
25246,Lambda Legal,Lambda Legal,"Lambda Legal is committed to achieving full recognition of the civil right of lesbians, gay men, bisexuals, transgender people and those with HIV.Lambda's Legal Help Desk responds to members of our communit(ies) who are seeking legal information and possible assistance with discrimination related to sexual orientation, gender identity and expression, and HIV status.",Yes,No,,,"105 W. AdamsSuite 2600Chicago, IL 60603",(312) 663-4413,http://www.lambdalegal.org,cangelaccio@lambdalegal.org,lambdalegal.org,86811,86836
25321,Lesbian & Gay Bar Association of Chicago,LAGBAC,We provide referrals to GLBT or GLBT-friendly Chicago-area attorneys.,Yes,No,,,"P.O. Box 64933Chicago, IL 60664",(312) 807-4401,http://www.lagbac.org,info@chilagbac.org,lagbac.org,27196,68091
25326,Life Span Center for Legal Services and Advocacy,Life Span,"LIFE SPAN provides comprehensive services to survivors of domestic violence and their children, including legal representation, criminal court advocacy, individual and group counseling for women, individual and group counseling for children, and a 24-hour crisis line.The core of Life Span's legal services includes legal advice, information, and representation in family law matters, such as divorce, allocation of parental responsibilities and allocation of parenting time, removal, and Civil Orders of Protection. Life Span also represents survivors of sexual assault in Civil No Contact Orders. The agency's services are free.",Yes,No,,,"70 East Lake StreetSuite 600Chicago, IL 60601",(312) 408-1210,http://life-span.org/,life-span@life-span.org,life-span.org,27201,
24996,Smart Policy Works,Smart Policy Works (formerly Health & Disability Advocates),"Smart Policy Works (formerly Health & Disability Advocates) offers a unique perspective in the healthcare landscape. Uncertainty over the future of healthcare, the ever-expanding role of care coordination, and a demand for broader population health analysis coupled with dwindling private and public resources, makes finding the right solution more challenging than ever. And yet, every organization faces unique challenges. As veterans of making public programs work smarter and better, we offer unique expertise to bring about effective solutions, even in the most challenging times.",No,No,,,"205 West Randolph StreetSuite 510Chicago, IL 60606",312-223-9600,http://www.hdadvocates.org,hda@hdadvocates.org,hdadvocates.org,26871,
25031,Illinois Bar Foundation,IBF,"The Illinois Bar Foundation (IBF) is the charitable arm of the Illinois State Bar Association. The IBF's mission is to enhance the availability of justice for those without attorneys and to support lawyers in financial need.Programs. In order to meet its mission, the IBF has four programmatic components: Access to Justice grants for legal aid non-profits; the Warren Lupel Lawyers Care Fund supporting lawyers in financial need; the Post-Graduate Legal Fellowships helping newly admitted attorneys; and the Illinois JusticeCorps connecting pro se litigants to available resources inside courthouses.Funding. The IBF is supported by attorneys, law firms, and companies supporting the legal profession. Learn more about supporting these worthy causes here.",No,No,,,"20 S. Clark St.Suite 910Chicago, IL 60603",312-726-6072,https://www.illinoisbarfoundation.org/,IBFInfo@isba.org,,"95461,95451,26906",95456
25046,Illinois Coalition for Immigrant & Refugee Rights,ICIRR,"ICIRR is dedicated to promote the rights of immigrants and refugees to full and equal participation in the civic, cultural, social, and political life of our diverse society. In partnership with our member organizations, the Coalition educates and organizes immigrant and refugee communities to assert their rights; promotes citizenship and civic participation; monitors, analyzes, and advocates on immigrant-related issues; and, informs the general public about the contributions of immigrants and refugees.",Yes,No,,,"55 East Jackson BoulevardSuite 2075Chicago, IL 60604",312-332-7360,http://www.icirr.org,lbenito@icirr.org,icirr.org,26921,
25076,Illinois Pension Assistance Project,IPAP; Illinois Pension Action Center,"The Illinois Pension Assistance Project, staffed by experienced pension lawyers and pension counselors, helps you understand your rights under pension law and claim the retirement income benefits that you have earned. The assistance is free of charge to anyone who lives in Illinois with a pension question or problem, regardless of age or income.Contact us to:provide comprehensive assistance on private or public pension issuesunravel complex pension plan documents and calculate benefit amounts;track down retirement benefits from former employersappeal benefit denials and correct miscalculations",Yes,No,,,"Pension Action Center, Gerontology InstituteUniversity of Massachusetts Boston 100 Morrissey Blvd.Boston, MA 02125",617-287-7307,https://www.umb.edu/pensionaction,pension@umb.edu,umb.edu,88496,88501
24726,Community Activism Law Alliance,CALA,Community Activism Law Alliance (CALA) unites lawyers and activists in a collaborative pursuit for justice by leveraging legal services to benefit the most marginalized communities and individuals. CALA is changing legal aid. We are changing how lawyers and communities work together. Our lawyers work with activists to help their communities access justice and pursue social change.,Yes,No,,,"17th N. State13th Floor, Suite #1380Chicago, IL 60602",(312) 999-0056,http://www.calachicago.org,cala@calachicago.org,calachicago.org,"111236,26601",111176
24741,Cook County Bar Association,CCBA,"Call our office at 312-630-1157, Monday to Friday between 11 am and 3 pm for referrals to private attorneys.",Yes,No,,,"19 S. LaSalle StreetSuite 702Chicago, IL 60603",(312) 630-1157,http://www.cookcountybar.org,info@cookcountybar.org,cookcountybar.org,26616,68426
24791,DePaul University Pro Bono & Community Service Initiative,PBCSI,The DePaul University College of Law is rooted in a strong tradition of service and social justice and its students are actively involved in helping the poor and underserved. The Pro Bono & Community Service Initiative (PBCSI) is an integral part of the College of Law and the DePaul law student experience.The Pro Bono & Community Service Initiative is a program that coordinates volunteer opportunities for law students. It does not provide legal services or advice to members of the public.,No,No,,,"25 East Jackson Blvd.Chicago, IL 60604",(312) 362-1473,https://law.depaul.edu/about/centers-and-institutes/center-for-public-interest-law/pages/default.aspx,smansur2@depaul.edu,,26666,
24836,DuPage County Bar Association,DCBA,"The online ""Find a Lawyer"" tool provides referrals to participating DuPage County attorneys. If you decide to make an appointment with the attorney, the first half-hour of consultation is free.If you do not find an area or attorney that fits your needs, or have questions about the type of lawyer your situation requires, you may wish to call the Lawyer Referral Service for assistance.",Yes,No,,,"126 S. County Farm Rd.Wheaton, IL 60187",(630) 653-9109,http://www.dcba.org/,bar@dcba.org,,26711,68101
24876,Equip for Equality,EFE,"In order to be eligible for EFE services, an individual must be a person with a disability and have an issue that arises in Illinois.Callers seeking assistance from EFE should contact EFE at (800) 537-2632.Callers will be asked to provide some demographic information, a summary of their specific request for services, and other intake related questions. Each request for service is subsequently discussed with EFE's legal team, which meets once per week, to determine if EFE is able to provide the request for services or assist the caller in some other way. If EFE is unable to assist the caller, the caller will be provided with information and referrals to other appropriate organizations.",Yes,No,,,"20 North Michigan AvenueSuite 300Chicago, IL 60602",(312) 341-0022,http://www.equipforequality.org,contactus@equipforequality.org,equipforequality.org,"90821,90816,90811,26751","101806,53301,53296"
24886,The Family Defense Center,FDC,"The Family Defense Center's mission is to advocate justice for families in the child welfare system. We advocate for families who need our help the most: families threatened with losing their children to foster care.The Family Defense Center provides legal representation in DCFS administrative hearings and a very limited number of child protection cases in the Juvenile Court of Cook County.These cases include providing legal advice during DCFS investigations and appealing DCFS ""indicated"" findings We charge sliding-scale fees for legal services. Our fees are determined based on your income and the size of your family. Families whose incomes are below 125% of the federal poverty guidelines are eligible for free or pro bono services.Before we agree to take your case, we will notify you in writing of any fees we are charging.",Yes,No,,,"70 East Lake StreetSuite 1100Chicago, IL 60601",(312) 251-9800,http://www.familydefensecenter.net,fdc@familydefensecenter.net,"familydefensecenter.net

    @familydefensecenter.com

    @familydefensecenter.org",26761,"49961,49956,49951,49946"
24561,CARPLS,CARPLS,"CARPLS is an innovative legal service that offers an immediate response to the everyday legal problems confronting people in need throughout Cook County.Our legal hotline and court-based advice desks give low- and modest-income clients direct access to experienced attorneys who are trained to quickly assess and respond to a wide range of civil legal problems.CARPLS attorneys resolve over 85% of all cases in-house by providing information, advice and brief services including the preparation and review of legal documents.Clients with more complex needs are referred by CARPLS to a network of specialized legal and social service providers.",Yes,No,,,"17 North State StreetSuite 1850Chicago, IL 60602",312-738-9494,https://www.carpls.org/,info@carpls.org,carpls.org,"26436,25966,25976,26036,26041","29211,29206,29201,29196,29191"
24631,Law Project of the Chicago Coalition for the Homeless,CCH Law Project,The Chicago Coalition for the Homeless (CCH) organizes and advocates to prevent and end homelessness based on our belief that housing is a human right in a just society. The Law Project provides civil legal services in select cases that will advance the legal rights and remedies of persons experiencing homelessness or at risk of homelessness.,Yes,No,,,"70 East Lake StreetSuite 720Chicago, IL 60601",(312) 641-4140,http://www.chicagohomeless.org/programs-campaigns/legal-aid/law-project/,patricia@chicagohomeless.org,chicagohomeless.org,26506,"35076,35066,29436"
24641,Chicago Lawyers' Committee for Civil Rights Under Law,"Chicago Lawyers' Committee, CLC","Since 1969, Chicago Lawyers’ Committee for Civil Rights has worked to secure racial equity and economic opportunity for all. We provide legal representation in a broad range of civil rights matters through partnerships with the private bar, and collaborate with grassroots organizations and other advocacy groups to implement community-based solutions that advance civil rights.",Yes,No,,,"100 North LaSalle StreetSuite 600Chicago, IL 60602",(312) 630-9744,http://www.clccrul.org,info@clccrul.org,clccrul.org,26516,"91161,37436"
24646,Chicago Legal Clinic,CLC,"The Chicago Legal Clinic (CLC) provides low-cost and free legal assistance to disadvantaged individuals in the Chicago area.  Legal services are provided at CLC's four offices located in the Austin, Downtown, Pilsen and South Chicago neighborhoods and at CLC's courthouse-based Advice Desks.",Yes,No,,,"211 West Wacker DriveSuite 750Chicago, IL 60617",312-726-2938,http://www.clclaw.org,info@clclaw.org,clclaw.org,"125091,33846,26521,25996,26001,26006,26011,26016","38506,38496,38491,38486,38481,38476,38471,38466,38461,34001,33961,33956,33941,33926,33921,33916,33901,33896,33851"
