Services-ID,Title,Is this service open?,Service type,Same phone number as organization?,Phone number,Level of service,Is this service a hotline?,Is this service an advice desk or walk-in clinic?,Average volume for this service,Same hours as location,Service availability,Is this location open at least weekly,Hours of operation,Dates and hours,Same holidays as location,Holiday schedule,Geolocation,Same income eligibility as location,Income eligibility and fees,Flat fee description,Sliding scale fees description,Max percentage of income standard,Amenities offered,Navigator availability,Is printing free for legal self-help center users?,Printing costs,Is scanning free for legal self-help center users?,Scanning costs,Is this service limited to specific populations?,An individual must be one of these to qualify,Featured content,Application process,Application form link,Process for applying by email,Process for applying by phone,Process for applying online,Process for walk-ins,Maximum callbacks per intake slot,Callback slots per applicant,Service is delivered,Website address,Organization ID,Location ID
127156,Free legal information and forms in Sangamon County,Yes,Legal self-help center,Yes,(217) 476-3417,,,,,,,,,,,,"Geolocation is 39.886126, -90.009613",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.10 cents per page for black and white; $0.25 cents per page for color,,,No,,"Getting a divorce

    Avoiding mortgage foreclosure

    Understanding eviction as a tenant

    Chapter 13 versus Chapter 7 bankruptcy

    Suing someone for $10,000 or less

    Getting an order of protection for domestic violence",,,,,,,,,,http://www.pspld.com/,115951,127151
127061,Free legal information and forms in Cass County,Yes,Legal self-help center,Yes,(217) 476-3417,,,,,,,,,,,,"Geolocation is 39.886126, -90.009613",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.10 cents per page for black and white; $0.25 cents per page for color,,,No,,"Getting a divorce

    Avoiding mortgage foreclosure

    Understanding eviction as a tenant

    Chapter 13 versus Chapter 7 bankruptcy

    Suing someone for $10,000 or less

    Getting an order of protection for domestic violence",,,,,,,,,,http://www.pspld.com/,124266,127056
127051,Free legal information and forms in Sangamon County,Yes,Legal self-help center,Yes,(217) 626-1553,,,,,,,,,,,,"Geolocation is 39.875106, -89.916317",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.10 cents per page for black and white; $0.25 cents per page for color,,,No,,"Getting a divorce

    Avoiding mortgage foreclosure

    Understanding eviction as a tenant

    Chapter 13 versus Chapter 7 bankruptcy

    Suing someone for $10,000 or less

    Getting an order of protection for domestic violence",,,,,,,,,,http://www.pspld.com/,115951,127046
124276,Free legal information and forms in Cass County,Yes,Legal self-help center,Yes,(217) 452-3846,,,,,,,,,,,,"Geolocation is 39.948431, -90.202632",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.20 per page,,,No,,"Getting a divorce

    Getting child support

    Getting an order of protection for domestic violence

    Responding to a lawsuit

    Is bankruptcy right for me?

    Suing someone for $10,000 or less",,,,,,,,,,http://virginiamemorialpubliclibrary.com/,124266,124271
122701,Free legal information and forms in Adams County,Yes,Legal self-help center,Yes,(217) 277-2100,,,,,,,,,,,,"Geolocation is 39.931262, -91.37972",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Online referrals to legal help

    Printers

    Scanners",,Yes,,Yes,,No,,"Getting a divorce

    Respond to a mortgage foreclosure complaint

    Understanding eviction as a tenant

    Getting an order of protection for domestic violence

    Getting child support

    Changing child support payments",,,,,,,,,,http://www.co.adams.il.us/Circuit_Clerk/index.htm,24456,122696
120306,Free legal information and court forms in Jackson County,Yes,Legal self-help center,Yes,(618) 457-3215,,,,,,,,,,,,"Geolocation is 37.728408, -89.222946",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Paper court forms

    Online legal info

    Online referrals to legal help

    Printers",,Yes,,,,No,,"Getting a divorce

    Being sued for $10,000 or less

    Post judgment debt collections

    Options for dealing with foreclosure

    Understanding eviction as a tenant

    My rights if I get a traffic ticket",,,,,,,,,,http://explorecarbondale.com/node/61,25121,120291
120061,Free legal information and forms in Cook County,Yes,Legal self-help center,Yes,847-253-5675,,,,,,,,,,,,"Geolocation is 42.068179, -87.932697",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers

    Scanners",Navigation help is provided during open hours,No,$0.10 per page for black and white; $0.25 per page for color,Yes,,No,,"Getting a divorce

    Understanding eviction as a tenant

    Options for dealing with foreclosure

    Living will

    Getting parental responsibilities or custody of a child

    Criminal record expungement or sealing request",,,,,,,,,,https://mppl.org/,91676,120051
116931,Free legal information and forms in Clinton County,Yes,Legal self-help center,Yes,618.594.6615,,,,,,,,,,,,"Geolocation is 38.60931, -89.376252",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Printed legal info

    Printers

    Scanners",,No,$.50 per page,Yes,,No,,"Being sued for $10,000 or less

    Getting a divorce

    Changing child support payments

    Specify or modify parenting time

    Forcing a parent to pay child support

    Getting an order of protection for domestic violence",,,,,,,,,,http://clintoncountycircuitclerk.com/,24716,116926
115961,Free legal information and forms in Sangamon County,Yes,Legal self-help center,Yes,(217) 753-4900,,,,,,,,,,,,"Geolocation is 39.798379, -89.646561",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers

    Scanners",Navigation help is provided during open hours,No,$0.25 per page for black & white page; $0.50 per page for color,Yes,,No,,"Getting a divorce

    Being sued for $10,000 or less

    Being sued for mortgage foreclosure

    Understanding eviction as a tenant

    Enforcing an order of protection

    Changing your name",,,,,,,,,,http://www.lincolnlibrary.info/,115951,115956
113196,Free legal information and forms in Jackson County,Yes,Legal self-help center,Yes,(618) 687-7300,,,,,,,,,,,,"Geolocation is 37.76515, -89.342282",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Online legal info

    Online referrals to legal help

    Referrals to legal aid

    Court navigator

    Printers

    Scanners",,Yes,,Yes,,No,,"Getting a divorce

    Respond to a mortgage foreclosure complaint

    Starting a small claims court case

    Starting a case to get child support

    Starting a case to get an order of protection

    How a tenant can stop an eviction",,,,,,,,,,http://circuitclerk.co.jackson.il.us/,25121,113191
111176,Free legal advice for immigrants,Yes,Direct representation,No,(872) 267-2252,Advice,Yes,No,30clients/cases served per month.,,Available 24/7/365,,,,,,"Geolocation is 41.88149, -87.624392",Yes,Free to everyone,,,,,,,,,,No,,,Telephone,,,Please leave a message and we will call you back within 2 business days.,,,,,Phone,,24726,26601
110956,Free legal information and forms in Piatt County,Yes,Legal self-help center,Yes,(217) 669-2312,,,,,,,,,,,,"Geolocation is 39.985463, -88.678689",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help",,,,,,No,,,,,,,,,,,,https://www.facebook.com/Willow-Branch-Township-Library-190605167751359/,25581,110951
110896,Free legal information and forms in DuPage County,Yes,Legal self-help center,Yes,(630) 231-1552,,,,,,,,,,,,"Geolocation is 41.887855, -88.198103",Yes,Free to everyone,,,,"Computers & Internet

    WiFi

    Online court forms

    Online legal info

    Online referrals to legal help

    Website navigator

    Printers",Navigation help is provided during open hours,No,$0.10 per page for black and white; $0.50 per page for color,,,No,,,,,,,,,,,,http://www.wcpld.info/,51926,110891
108216,IL-AFLAN,Yes,Direct representation,Yes,(855) 452-3526,"Extended representation

    Brief services

    Advice

    Mediation and alternative dispute resolution

    Pro bono placement",Yes,No,1000clients/cases served per month.,No,Fixed hours,Yes,Sunday: Closed Monday: 9:00-16:30  Tuesday: 9:00-16:30  Wednesday: 9:00-16:30  Thursday: 9:00-16:30  Friday: 9:00-16:30  Saturday: Closed,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Day","Geolocation is 41.885144, -87.625994",Yes,Free to eligible persons/entities,,,80%,,,,,,,Yes,"a veteran, active duty military or have had military service",,Telephone,,,"Call when you have time to talk to a lawyer, with any relevant documents in front of you. Please listen to phone prompts. If the wait is more than 10 minutes you will be able to schedule a callback. We also serve qualified spouses and dependents.",,,,,Phone,,131321,131331
107761,Legal Help for Domestic Abuse in SW Illinois,Yes,Direct representation,Yes,618-462-0029,"Extended representation

    Brief services

    Advice

    Pro bono placement",No,No,25clients/cases served per month.,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Casimir Pulaski Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 38.901935, -90.165499",No,Free to everyone,,,,,,,,,,No,,,Online through IllinoisLegalAid.org,,,,,,,,"In Person

    Phone",,25251,26156
107756,Legal Help for Domestic Abuse in Southern Illinois,Yes,Direct representation,Yes,(618) 457-7800,"Extended representation

    Brief services

    Advice

    Pro bono placement",No,No,25clients/cases served per month.,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 37.728408, -89.222946",No,Free to everyone,,,,,,,,,,No,,,Online through IllinoisLegalAid.org,,,,,,,,"In Person

    Phone",,25251,26151
107751,Legal Help for Domestic Abuse in Central Illinois,Yes,Direct representation,Yes,217-529-8400,"Extended representation

    Brief services

    Advice

    Pro bono placement",No,No,25clients/cases served per month.,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 39.772322, -89.632328",No,Free to everyone,,,,,,,,,,No,,,Online through IllinoisLegalAid.org,,,,,,,,"In Person

    Phone",,25251,26146
107746,Legal Help for Domestic Abuse in Eastern Illinois,Yes,Direct representation,Yes,217-356-1351,"Extended representation

    Brief services

    Advice

    Pro bono placement",No,No,25clients/cases served per month.,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 40.109868, -88.247163",No,Free to everyone,,,,,,,,,,No,,,Online through IllinoisLegalAid.org,,,,,,,,"In Person

    Phone",,25251,26136
107741,"Legal Help for Domestic Abuse in Clinton, Fayette, Monroe, Randolph, St. Clair and Washington Counties",Yes,Direct representation,Yes,(618) 398-0958,"Extended representation

    Brief services

    Advice

    Pro bono placement",No,No,25clients/cases served per month.,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,Yes,"New Year's Day

    Martin Luther King, Jr. Day

    Lincoln's Birthday

    Washington's Birthday

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Veterans Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 38.598771, -90.076739",No,Free to everyone,,,,,,,,,,No,,,Online through IllinoisLegalAid.org,,,,,,,,"In Person

    Phone",,25251,26131
107096,"Quality, low cost immigration legal services",Yes,Direct representation,Yes,(630) 462-7660,"Extended representation

    Brief services",No,No,200clients/cases served per month.,Yes,Fixed hours,Yes,"Sunday: Closed Monday: 8:30-12:00 , 13:00-17:00  Tuesday: 8:30-12:00  Wednesday: 8:30-12:00  Thursday: 8:30-12:00 , 1:00-17:00  Friday: 8:30-12:00 , 13:00-17:00  Saturday: Closed",,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 41.920273, -88.143298",Yes,Flat fee regardless of income,"We charge a flat fee for all cases, with exceptions based on income level.",,150%,,,,,,,Yes,an immigrant to the U.S. or undocumented,,"Telephone

    Walk-in

    Email",,,,,,,,In Person,,107041,107051
106706,Free legal information and forms in Peoria County,Yes,Legal self-help center,Yes,(309) 676-3832,,,,,,,,,,,,"Geolocation is 40.680845, -89.627061",Yes,Free to everyone,,,,"Computers & Internet

    Online court forms

    Paper court forms

    Online legal info

    Printed legal info

    Online referrals to legal help

    Referrals to legal aid

    Website navigator

    Court navigator

    Printers

    Scanners",Navigation help is provided during open hours,Yes,,Yes,,No,,"Getting a divorce

    Getting an order of protection for domestic violence

    Expunging or sealing a criminal record

    Suing someone for $10,000 or less

    Being sued for mortgage foreclosure

    Being sued for $10,000 or less",,,,,,,,,,http://www.metecresourcecenter.com/,25566,106701
105921,McCutcheon legal clinic,Yes,Direct representation,Yes,(312) 341-1070,"Extended representation

    Brief services

    Advice",No,Yes,,Yes,Fixed hours,No,,"Repeats every month on January, February, March, April, May, September, October, November, December on the first Wednesday 100 times except Wed Jan 02 2019. Also includes Wed Jan 16 2019.Wednesday, October 4, 2017 - 4:30pm to 6:30pm",Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Columbus Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 41.9726, -87.666715",Yes,Free to eligible persons/entities,,,150%,,,,,,,No,,,"Telephone

    Walk-in",,,"All clinics are walk-in only, we do not make appointments.

Call 312-341-1070, select your preferred language, and choose option 4 for more information about LAF's legal clinics.",,"Walk-in clients are seen on a first-come, first-served basis. Doors open at 4PM. If you arrive before the clinic closes, you will be seen.",,,In Person,,25231,105911
101806,Employment rights helpline for people with disabilities,Yes,Direct representation,No,844-RIGHTS-9 (844-744-4879),"Extended representation

    Brief services

    Advice

    Mediation and alternative dispute resolution

    Pro bono placement",No,No,200clients/cases served per month.,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 41.88149, -87.624392",Yes,Free to everyone,,,,,,,,,,Yes,living with a disability,,"Telephone

    Online

    Email",http://www.equipforequality.org/faq-4-21-17/,"Please send an email with your name, contact information, and a short description of your request. We do our best to respond as soon as possible, but guarantee that we will respond within 3 working days.","Please leave a voicemail with your name, contact information, and a short description of your request. We do our best to return calls as soon as possible, but guarantee that we will return your call within 3 working days.","Our Helpline questionnaire is available at the link below. Please download, complete it, and email it to us at employment@equipforequality.org. We do our best to respond as soon as possible, but guarantee that we will respond within 3 working days.",,,,"Phone

    Online/Remote (including real-time and asynchronous communications)",,24876,26751
101146,Immigration help for Cook County residents outside of Chicago,Yes,Direct representation,Yes,(312) 660-1370,"Extended representation

    Brief services

    Advice

    Pro bono placement",No,No,200clients/cases served per month.,Yes,Fixed hours,Yes,Sunday: Closed Monday: 8:30-17:00  Tuesday: 8:30-17:00  Wednesday: 8:30-17:00  Thursday: 8:30-17:00  Friday: 8:30-17:00  Saturday: Closed,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 41.875734, -87.625562",Yes,Flat fee regardless of income,,"There is a $50 first-time consultation fee ($30 returning consultation fee for past clients with a new issue).  Fees are payable by money order, cash, or credit card.  Fees may be waived in some cases.",200%,,,,,,,No,,,"Telephone

    Email

    Online through IllinoisLegalAid.org",,Or you can email us to set an appointment.,Please call to set an appointment.,,,,,In Person,,25491,27366
100171,Free immigration help for Chicago residents,Yes,Direct representation,Yes,(312) 660-1370,"Extended representation

    Brief services

    Advice

    Pro bono placement",No,No,200clients/cases served per month.,Yes,Fixed hours,Yes,Sunday: Closed Monday: 8:30-17:00  Tuesday: 8:30-17:00  Wednesday: 8:30-17:00  Thursday: 8:30-17:00  Friday: 8:30-17:00  Saturday: Closed,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 41.875734, -87.625562",Yes,Flat fee regardless of income,,"There is a $50 first-time consultation fee ($30 returning consultation fee for past clients with a new issue).  Fees are payable by money order, cash, or credit card.  Fees may be waived in some cases.",200%,,,,,,,No,,,"Telephone

    Email

    Online through IllinoisLegalAid.org",,Or you can email us to set an appointment.,Please call to set an appointment.,,,,,In Person,,25491,27366
99161,Help for victims of crime in Cook County (VLAN),Yes,Direct representation,Yes,312-986-4200,"Extended representation

    Brief services

    Advice

    Pro bono placement",No,No,15clients/cases served per month.,Yes,Fixed hours,Yes,Sunday: Closed Monday: 9:00-17:00  Tuesday: 9:00-17:00  Wednesday: 9:00-17:00  Thursday: 9:00-17:00  Friday: 9:00-17:00  Saturday: Closed,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Presidents' Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 41.88149, -87.624392",Yes,Free to eligible persons/entities,,,200%,,,,,,,Yes,"a survivor of abuse or crime (domestic violence, trafficking, sexual assault, gun violence)",,"Telephone

    Online through IllinoisLegalAid.org",,,,,,,,"In Person

    Phone",,25311,27186
97546,Civil Rights Team,Yes,Direct representation,Yes,312-640-2100,"Extended representation

    Brief services

    Advice",No,No,50clients/cases served per month.,Yes,Fixed hours,Yes,Sunday: Closed Monday: 8:30-17:00  Tuesday: 8:30-17:00  Wednesday: 8:30-17:00  Thursday: 8:30-17:00  Friday: 8:30-17:00  Saturday: Closed,,Yes,"New Year's Day

    New Year's Eve

    Martin Luther King, Jr. Day

    Memorial Day

    Independence Day

    Labor Day

    Thanksgiving

    Day after Thanksgiving

    Christmas Eve

    Christmas Day","Geolocation is 41.887141, -87.636511",Yes,Free to everyone,,,,,,,,,,Yes,"living with a disability

    living with HIV/AIDS",,"Telephone

    Walk-in

    Email",,Consumer sends an email.  Consumer leaves a message.  We respond within 24-48 hours.,Consumer calls our legal intake line.  Consumer leaves a message.  We call back within 24-48 hours.,,"We prefer to conduct intake over the phone.  If a consumer, without an appointment,  walks into our office, we may or may not be available to conduct an intake/interview.",,,"In Person

    Phone",,24441,97541
95456,Illinois JusticeCorps,No,Legal information and education (not a legal self-help center),Yes,312-726-6072,,,,,,,,,,,,"Geolocation is 41.879623, -87.628479",Yes,Free to everyone,,,,,,,,,,No,,,,,,,,,,,,,25031,95451
