organization_uuid,organization_name,organization_email,organization_tax_id,organization_legal_status,organization_url,organization_alternate_name,organization_year_incorporated,organization_description
38495f6a-cea9-4572-91d6-1277fc0b23c4,Jacksonville Area Legal Aid,missy.davenport@jaxlegalaid.org,59-0696291,501(c)3,https://www.jaxlegalaid.org/,JALA,48,"Jacksonville Area Legal Aid, Inc. (JALA) is a non-profit law firm dedicated to providing free civil legal assistance to those who could not otherwise afford it."
6246bc4f-64c6-4897-b3e6-a7fc32eb32be,Legal Aid Foundation of Tallahassee,darby@tallahasseebar.org,,,http://www.legalaidtallahassee.org/,"The Legal Aid Foundation of the Tallahassee Bar Association, Inc.",,"Our Mission:  We mobilize and educate volunteer attorneys and provide direct legal services to those in need.

Our Vision:  Leon County Community working together to ensure all people are aware of and able to access their civil legal rights."
df482cd6-f5e4-4494-9ab7-d70c408af11a,Legal Aid of Manasota,pamelaf@legalaidofmanasota.org,,,www.legalaidofmanasota.org,LAMs,1991,Legal Aid of Manasota serves the indigent population in Manatee and Sarasota County
ee187f93-4b48-4158-a0d6-4a9d539715c5,"Legal Aid Service of Broward County, Inc.",jevans@legalaid.org,59-1547191,,http://www.browardlegalaid.org/,,1973,"To provide high quality free civil legal advice, representation and education to the poor of Broward County so as to improve the life style and living conditions of the low-income community and to encourage self-sufficiency"
8e371846-13d1-48f6-8cdd-0d4f0d74b201,"Legal Aid Society of Palm Beach County, Inc.",,,,www.legalaidpbc.org,,,"The Legal Aid Society of Palm Beach County is a nonprofit charitable law firm dedicated to ensuring equal access to the justice system for the low-income, at-risk and traditionally underserved residents of Palm Beach County. The Legal Aid Society addresses a broad range of legal needs through the following program areas: Family Advocacy, Children’s Advocacy, Individual Rights Advocacy, Elder Advocacy, Health Advocacy, and Community Outreach."
7bdd4bfa-8075-4837-a198-257f55512612,"Legal Aid Society of the Orange County Bar Association, Inc.",jkuhns@legalaidOCBA.org,N/A,N/A,http://www.legalaidocba.org/,N/A,1967,"Legal Aid Society of the Orange County Bar Association, Inc.  is not-for-profit agency which provides free civil legal service mainly to the Orange County area through their staff attorneys and volunteers."
34cf3c0e-65ef-4367-96c3-3cbcd755df2f,Legal Services of Greater Miami,isanchezbryson@legalservicesmiami.org,,,www.legalservicesmiami.org,,1966,Legal Services Miami is the LSC funded program serving Miami-Dade and Monroe County.
d6ba1873-27d0-4632-9b9a-63ab88c3553f,"Legal Services of North Florida, Inc.",referrals@lsnf.org,,,,LSNF,1976,"LSNF serves 16 counties in the Florida Panhandle (Wakulla, Jefferson, Leon, Franklin, Gadsden, Liberty, Calhoun, Jackson, Washington Bay, Gulf, Holmes, Okaloosa, Walton, Escambia, and Santa Rosa)"
7ae7a675-bed9-4c1f-85e6-cbb73484dc95,"Northwest Florida Legal Servcies, Inc.",whited@nwfls.org,n/a,active,nwfls.org,DBA/ Emerald Coast Legal Aid,1978,"Northwest Florida Legal Services, Inc. is a non-LSC funded program providing Legal assistance in Escambia and Santa Rosa Counties."
bedacb58-244a-42f1-bc84-fdca9be6fd9a,Three Rivers Legal Services,info@trls.org,,501c3 corporation,www.trls.org,TRLS,1977,LSC funded legal service program serving 17 counties in north central and northeast Florida
