organization_name,organization_uuid,location_name,location_uuid,location_address,location_url,phones
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,Southern Winds,5bd38bd4-8250-4f8b-95b8-0f1ed0502002,State: FL,,
Americans for Immigrant Justice,6a84f8e7-f0a8-445d-9abc-d24a7b462f82,We Count - Homestead,5bd38bd7-8f90-487b-bc58-0f1ed0502002,"Homestead, FL",,
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Dade City,5bd38b56-5b4c-4b20-83d4-a89bac1e02dd,"37718 Meridian Ave, Dade City, FL 33525-3715",,"tdd: 800-955-8771, main: 352-567-9044, tollfree: 800-625-2257"
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Family Justice Center,5bd38b56-e9d8-4fc9-b51f-a89bac1e02dd,"Tampa, FL",,
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,New Port Richey,5bd38b56-2c80-4cd1-8982-a89bac1e02dd,"8406 Massachusetts Ave, Suite B-2, New Port Richey, FL 34653-3100",,"tollfree: 800-625-2257, tdd: 800-955-8771, main: 727-847-5494"
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Operations,5bd38b56-7c30-450c-9a76-a89bac1e02dd,"1302 North 19th Street, Suite 150, Tampa, FL 33605",,"tollfree: 800-625-2257, main: 813-232-1222, tdd: 800-955-8771"
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Plant City,5bd38b56-01f4-4b43-ad9f-a89bac1e02dd,"701 Tillman Place, Suite 300, Plant City, FL 33566-7169",,"tollfree: 800-625-2257, tdd: 800-955-8771, main: 813-752-1335"
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Ruskin,5bd38b56-7a20-4ef3-ace3-a89bac1e02dd,"201 14th Avenue SE, Suite I, Ruskin, FL 33570",,"tollfree: 800-625-2257, main: 813-634-6044, tdd: 800-955-8771"
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Senior Legal Helpline,5bd38b56-8924-48c7-984e-a89bac1e02dd,"1302 North 19th Street, Suite 400, Tampa, FL 33605",https://www.bals.org/our-services/help-for-seniors,"main: 888-895-7873, tollfree: 888-895-7873, tdd: 800-955-8771"
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,St. Petersburg,5bd38b56-bf44-4cef-b8d9-a89bac1e02dd,"4948 Central Avenue, St. Petersburg, FL 33707",,"main: 727-490-4040, tollfree: 800-625-2257, tdd: 800-955-8771"
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Tampa HQ,5bc648cc-5140-4f4b-a68a-459aac1e02dd,"1302 North 19th Street, Suite 400, Tampa, FL 33605",,"tollfree: 800-625-2257, tdd: 800-955-8771, main: 813-232-1343"
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Volunteer Lawyers Program,5bd38b56-b9c4-4a99-9f3a-a89bac1e02dd,"Edgecomb Courthouse, 800 E Twiggs St - Room 207, Tampa, FL 33602",,"main: 813-226-8685, tdd: 800-955-8771"
"Bay Area Legal Services, Inc.",85b23d4b-6619-4bd7-a682-819bf28dfed6,Volunteer Lawyers Program-NW,5bd38b56-4a70-497e-a04b-a89bac1e02dd,"800 Drew Street, Clearwater, FL 33755",,"main: 727-490-4040, tdd: 800-955-8771"
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,Beaches,5bd38d5e-c3cc-4d03-aae2-7a16d0502006,State: FL,,
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,Brevard,5bd38d5c-8e18-48d0-b3c6-7a16d0502006,FL 32955,,
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,Brevard County Legal Aid,5baa89aa-6594-4106-847a-154ad0502006,"1038 Harvin Way, #100, Rockledge, FL 32955",,main: 321-631-2500
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,Central Clinic,5bd38d5f-d8ec-44ad-9063-7a16d0502006,State: FL,,
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,Central (old),5bd38d5e-3a90-453e-a545-7a16d0502006,"1038 Harvin Way, Suite 100, Rockledge, FL 32955",,main: 321-631-2500
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,Central Pro Bono,5bd38d5e-e134-42e7-8265-7a16d0502006,State: FL,,
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,Central Staff,5bd38d5f-a8dc-4ceb-82f1-7a16d0502006,State: FL,,
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,Default Office,5bd38d5d-6f90-4567-a2cf-7a16d0502006,State: FL,,
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,Non-Applicable,5bd38d5e-7864-4004-a182-7a16d0502006,State: FL,,
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,North Pro Bono,5bd38d5d-c08c-4594-95ac-7a16d0502006,State: FL,,
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,Out of County,5bd38d5d-f180-45f1-a0d9-7a16d0502006,State: FL,,
Brevard County Legal Aid,61359f4e-555a-4ac6-b5ae-7f11d1a6004e,South Pro Bono,5bd38d5d-85d0-44de-b824-7a16d0502006,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Admin,5bd38e26-8898-4a92-b2e7-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Broward Office,5bd38e26-4448-4180-9118-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Cental,5bd38e26-0700-4c47-aed1-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Central,5bd38e25-15e4-4575-9a67-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Children Advocacy,5bd38e25-7668-45a3-866f-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Consumer,5bd38e25-349c-401c-9fdd-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Default Office,5bd38e25-2e70-4a18-8a40-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Economic Advocacy and Community Health (EACH),5bd38e27-f148-40d1-b02a-76d3d0502007,"491 N. State Road 7, Plantation, FL 33317",http://www.coasttocoastlegalaid.org/each/,main: 954-736-2490
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Family Law,5bd38e27-48cc-43d7-b8d1-76d3d0502007,"491 N. State Road 7, Plantation, FL 33317",http://www.coasttocoastlegalaid.org/family/,main: 954-736-2400
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Head Office,5bd38e24-31c8-4f08-8cfd-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Housing,5bd38e24-0dc8-407f-a739-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Immigration,5bd38e24-f680-47dc-94ae-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Las Pompano,5bd38e24-ba28-4be7-95c0-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Main,5bd38e23-df48-444d-9e7b-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Pro Bono,5bd38e23-59e8-46cd-96da-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Public Benefits,5bd38e23-f7d0-4842-93b6-76d3d0502007,"491 N. State Road 7, Plantation, FL 33317",http://www.coasttocoastlegalaid.org/each/,main: 954-736-2490
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Refugee,5bd38e23-f710-47c4-b1c4-76d3d0502007,State: FL,,
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Senior Law,5bd38e27-99b4-407c-a302-76d3d0502007,"491 N. State Road 7, Plantation, FL 33317",http://www.coasttocoastlegalaid.org/elderlysenior-60/,main: 954-765-8955
"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Senior Law Unit,5b50f20c-b6ec-4ddd-baff-4839d0502007,"491 N. State Road 7, Plantation, FL 33317",http://www.coasttocoastlegalaid.org/elderlysenior-60/,main: 954-765-8955
Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,Default Office,5bd38c8a-519c-4afa-b1bd-7a13d0502006,State: FL,,
Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,St Pete,5bb6296f-ef28-4426-b16f-5149d0502006,"501 1st Avenue North, #519, St. Petersburg, FL 33701",www.lawprogram.org,main: 727-582-7480
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,1,5bd38c5e-2ef8-4885-9413-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,-1,5bd38c5e-2970-406b-baed-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Administration,5bd38c67-6c80-4de5-abc9-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,AG Grant,5bd38c5e-899c-4034-a423-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Brevard,5bd38c5e-d16c-4084-ae59-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Citrus,5bd38c5f-1190-4547-bc7d-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Citrus/Sumter,5bd38c5f-fc28-4c7e-9f5b-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Cocoa,5bd38c5f-7fe0-46f4-9215-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Cocoa Office,5bd38c5f-9e80-4030-ac1d-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,CO-COUNSELD CASES,5bd38c60-0880-402a-b9f2-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Courthouse,5bd38c60-af84-42a7-8ea3-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Ct. Appt.-Citrus,5bd38c60-9220-4aaf-8d49-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Ct. Appt.-Lake,5bd38c60-4968-43b8-9a68-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Ct. Appt.-Marion,5bd38c60-6150-4e9a-a01f-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Ct. Appt.-Sumter,5bd38c61-8bf0-446e-a266-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Ct. Appt.-Volusia,5bd38c61-e8fc-446e-9935-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Daytona,5bd38c61-16c4-44bd-99cb-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Daytona Beach,5bd38c61-9e88-4e6e-a2e4-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Daytona Office,5b6db58c-274c-4e12-81f7-4bd843ca458b,"128 Orange Avenue, Daytona Beach, FL 32114",,main: 386-255-6573
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Default Office,5bd38c61-f5b0-4382-808f-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Flagler,5bd38c62-70ac-40b2-ba2c-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,HELPLINE,5bd38c67-2490-4c20-ab6e-d6f343ca458b,"310 S. Magnolia Avenue, Sanford, FL 32771",,"main: 407-531-8304, tollfree: 800-405-1417"
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Hernando,5bd38c62-c9ac-4dce-9699-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Inverness Office,5b6db92b-46f4-4b68-9b41-4dfc43ca458b,"106 N. Osceola Avenue, Inverness, FL 34450",,main: 352-726-8512
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Kissimmeee,5bd38c62-7230-4e7f-9d0f-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Kissimmee Office,5b6db92c-324c-4967-a753-461443ca458b,"800 N. Main Street, Kissimmee, FL 34744",,main: 407-847-0053
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,LACCF Conflict Checking,5bd38c62-e49c-46fb-b2c9-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,LACCF Rejected Client,5bd38c63-787c-482a-99cf-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Lake,5bd38c63-cbc4-4a8a-9b46-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Main Office,5bd38c63-ff04-4f7c-835b-d6f343ca458b,"State: <b>IL</b>,",,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Marion,5bd38c63-c4a4-4fbe-ae5c-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Ocala Office,5b6db92c-386c-4ade-b5c7-457643ca458b,"1610 SE 36th Avenue, Ocala, FL 34471",,main: 352-629-0105
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Orange,5bd38c63-7eb0-44d5-9fca-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Orlanda,5bd38c64-cbb0-43ce-a257-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Orlando Office,5b6db92c-e60c-4d3e-b5ba-489343ca458b,"122 E. Colonial Drive, Suite 200, Orlando, FL 32801",,main: 407-841-7777
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Osceola,5bd38c64-3a64-4fed-b0d7-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Palatka Office,5b6db92d-f1d0-4974-a63b-46cd43ca458b,"216 S. 6th Street, Palatka, FL 32177",,main: 386-328-8361
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,PB Intake,5bd38c64-9f54-4d9a-a1a0-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,PENDING Transfers,5bd38c64-44d4-410d-b6c6-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Putnam,5bd38c65-ea6c-4287-a345-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Sanford Office,5bd38c69-f190-4d1b-86c1-d6f343ca458b,"315 S. Magnolia Avenue, Sanford, FL 32771",,main: 407-322-8983
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Sanford Office,5b6db92d-8900-4ecd-befc-44b243ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Seminole,5bd38c65-abd4-41ca-9c74-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Spring Hill,5b6db92e-11e0-4e7d-b571-44ec43ca458b,"12595 Spring Hill Dr, Spring Hill, FL 32609-5068",,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,St. Johns,5bd38c65-cbbc-4366-9302-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Sumter,5bd38c65-7364-48f3-bff4-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Tavares Office,5b6db92e-941c-4a8a-bfae-4a0343ca458b,"226 W. Main Street, Tavares, FL 32778",,main: 352-343-0815
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,TRANSFERRED Cases,5bd38c66-21f0-4c7e-8244-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Vollusia,5bd38c66-8558-4206-b6b7-d6f343ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Volusia,5b6db92e-22bc-47c3-ac8e-454f43ca458b,State: FL,,
Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Website,5bd38c66-10a0-4b5e-b13a-d6f343ca458b,State: FL,,
"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Default Office,5bd38c39-9d4c-4766-af6d-7254d0502007,State: FL,,
"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Default Office,5bd38c37-3fc4-4b9a-aa68-7254d0502007,State: FL,,
"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,DV Hotline,5bd38c38-7ecc-485d-a249-7254d0502007,State: FL,,
"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,FILS Intake,5bd38c3c-e3f4-4a32-9c58-7254d0502007,State: FL,,
"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,FILS Transition House,5bd38c3a-6350-4d53-8095-7254d0502007,State: FL,,
"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Florida Institutional Legal Services,5bd38c38-7d48-46f3-a7ad-7254d0502007,State: FL,,
"Florida Legal Services, Inc.",c5573d56-fefd-48f0-8b30-23c6c0ca6877,Florida Institutional Legal Services,5bd38c3c-4abc-4904-a1b6-7254d0502007,"12921 SW 1st Rd., Ste. 107 - #346, Newberry, FL 32669",,"tollfree: 888-375-2494, main: 352-375-2494"
