id,name,alternate_name,description,email,url,tax_status,tax_id,year_incorporated,legal_status
25236,Lake County Bar Association,,"The LCBA online ""Find A Lawyer"" tool provides a way to locate a Lake County attorney in the particular areas of law in which they concentrate.If you do not find an area or attorney that fits your need you might want to call the Lawyer Referral Service, which helps people in need of a Lake County, Illinois attorney.",info@lakebar.org,http://www.lakebar.org/find-a-lawyer,,,,
25246,Lambda Legal,,"Lambda Legal is committed to achieving full recognition of the civil right of lesbians, gay men, bisexuals, transgender people and those with HIV.Lambda's Legal Help Desk responds to members of our communit(ies) who are seeking legal information and possible assistance with discrimination related to sexual orientation, gender identity and expression, and HIV status.",cangelaccio@lambdalegal.org,http://www.lambdalegal.org,,,,
25321,Lesbian & Gay Bar Association of Chicago,,We provide referrals to GLBT or GLBT-friendly Chicago-area attorneys.,info@chilagbac.org,http://www.lagbac.org,,,,
25326,Life Span Center for Legal Services and Advocacy,,"LIFE SPAN provides comprehensive services to survivors of domestic violence and their children, including legal representation, criminal court advocacy, individual and group counseling for women, individual and group counseling for children, and a 24-hour crisis line.The core of Life Span's legal services includes legal advice, information, and representation in family law matters, such as divorce, allocation of parental responsibilities and allocation of parenting time, removal, and Civil Orders of Protection. Life Span also represents survivors of sexual assault in Civil No Contact Orders. The agency's services are free.",life-span@life-span.org,http://life-span.org/,,,,
24996,Smart Policy Works,,"Smart Policy Works (formerly Health & Disability Advocates) offers a unique perspective in the healthcare landscape. Uncertainty over the future of healthcare, the ever-expanding role of care coordination, and a demand for broader population health analysis coupled with dwindling private and public resources, makes finding the right solution more challenging than ever. And yet, every organization faces unique challenges. As veterans of making public programs work smarter and better, we offer unique expertise to bring about effective solutions, even in the most challenging times.",hda@hdadvocates.org,http://www.hdadvocates.org,,,,
25031,Illinois Bar Foundation,,"The Illinois Bar Foundation (IBF) is the charitable arm of the Illinois State Bar Association. The IBF's mission is to enhance the availability of justice for those without attorneys and to support lawyers in financial need.Programs. In order to meet its mission, the IBF has four programmatic components: Access to Justice grants for legal aid non-profits; the Warren Lupel Lawyers Care Fund supporting lawyers in financial need; the Post-Graduate Legal Fellowships helping newly admitted attorneys; and the Illinois JusticeCorps connecting pro se litigants to available resources inside courthouses.Funding. The IBF is supported by attorneys, law firms, and companies supporting the legal profession. Learn more about supporting these worthy causes here.",IBFInfo@isba.org,https://www.illinoisbarfoundation.org/,,,,
25046,Illinois Coalition for Immigrant & Refugee Rights,,"ICIRR is dedicated to promote the rights of immigrants and refugees to full and equal participation in the civic, cultural, social, and political life of our diverse society. In partnership with our member organizations, the Coalition educates and organizes immigrant and refugee communities to assert their rights; promotes citizenship and civic participation; monitors, analyzes, and advocates on immigrant-related issues; and, informs the general public about the contributions of immigrants and refugees.",lbenito@icirr.org,http://www.icirr.org,,,,
25076,Illinois Pension Assistance Project,,"The Illinois Pension Assistance Project, staffed by experienced pension lawyers and pension counselors, helps you understand your rights under pension law and claim the retirement income benefits that you have earned. The assistance is free of charge to anyone who lives in Illinois with a pension question or problem, regardless of age or income.Contact us to:provide comprehensive assistance on private or public pension issuesunravel complex pension plan documents and calculate benefit amounts;track down retirement benefits from former employersappeal benefit denials and correct miscalculations",pension@umb.edu,https://www.umb.edu/pensionaction,,,,
24726,Community Activism Law Alliance,,Community Activism Law Alliance (CALA) unites lawyers and activists in a collaborative pursuit for justice by leveraging legal services to benefit the most marginalized communities and individuals. CALA is changing legal aid. We are changing how lawyers and communities work together. Our lawyers work with activists to help their communities access justice and pursue social change.,cala@calachicago.org,http://www.calachicago.org,,,,
24741,Cook County Bar Association,,"Call our office at 312-630-1157, Monday to Friday between 11 am and 3 pm for referrals to private attorneys.",info@cookcountybar.org,http://www.cookcountybar.org,,,,
24791,DePaul University Pro Bono & Community Service Initiative,,The DePaul University College of Law is rooted in a strong tradition of service and social justice and its students are actively involved in helping the poor and underserved. The Pro Bono & Community Service Initiative (PBCSI) is an integral part of the College of Law and the DePaul law student experience.The Pro Bono & Community Service Initiative is a program that coordinates volunteer opportunities for law students. It does not provide legal services or advice to members of the public.,smansur2@depaul.edu,https://law.depaul.edu/about/centers-and-institutes/center-for-public-interest-law/pages/default.aspx,,,,
24836,DuPage County Bar Association,,"The online ""Find a Lawyer"" tool provides referrals to participating DuPage County attorneys. If you decide to make an appointment with the attorney, the first half-hour of consultation is free.If you do not find an area or attorney that fits your needs, or have questions about the type of lawyer your situation requires, you may wish to call the Lawyer Referral Service for assistance.",bar@dcba.org,http://www.dcba.org/,,,,
24876,Equip for Equality,,"In order to be eligible for EFE services, an individual must be a person with a disability and have an issue that arises in Illinois.Callers seeking assistance from EFE should contact EFE at (800) 537-2632.Callers will be asked to provide some demographic information, a summary of their specific request for services, and other intake related questions. Each request for service is subsequently discussed with EFE's legal team, which meets once per week, to determine if EFE is able to provide the request for services or assist the caller in some other way. If EFE is unable to assist the caller, the caller will be provided with information and referrals to other appropriate organizations.",contactus@equipforequality.org,http://www.equipforequality.org,,,,
24886,The Family Defense Center,,"The Family Defense Center's mission is to advocate justice for families in the child welfare system. We advocate for families who need our help the most: families threatened with losing their children to foster care.The Family Defense Center provides legal representation in DCFS administrative hearings and a very limited number of child protection cases in the Juvenile Court of Cook County.These cases include providing legal advice during DCFS investigations and appealing DCFS ""indicated"" findings We charge sliding-scale fees for legal services. Our fees are determined based on your income and the size of your family. Families whose incomes are below 125% of the federal poverty guidelines are eligible for free or pro bono services.Before we agree to take your case, we will notify you in writing of any fees we are charging.",fdc@familydefensecenter.net,http://www.familydefensecenter.net,,,,
24561,CARPLS,,"CARPLS is an innovative legal service that offers an immediate response to the everyday legal problems confronting people in need throughout Cook County.Our legal hotline and court-based advice desks give low- and modest-income clients direct access to experienced attorneys who are trained to quickly assess and respond to a wide range of civil legal problems.CARPLS attorneys resolve over 85% of all cases in-house by providing information, advice and brief services including the preparation and review of legal documents.Clients with more complex needs are referred by CARPLS to a network of specialized legal and social service providers.",info@carpls.org,https://www.carpls.org/,,,,
24631,Law Project of the Chicago Coalition for the Homeless,,The Chicago Coalition for the Homeless (CCH) organizes and advocates to prevent and end homelessness based on our belief that housing is a human right in a just society. The Law Project provides civil legal services in select cases that will advance the legal rights and remedies of persons experiencing homelessness or at risk of homelessness.,patricia@chicagohomeless.org,http://www.chicagohomeless.org/programs-campaigns/legal-aid/law-project/,,,,
24641,Chicago Lawyers' Committee for Civil Rights Under Law,,"Since 1969, Chicago Lawyers’ Committee for Civil Rights has worked to secure racial equity and economic opportunity for all. We provide legal representation in a broad range of civil rights matters through partnerships with the private bar, and collaborate with grassroots organizations and other advocacy groups to implement community-based solutions that advance civil rights.",info@clccrul.org,http://www.clccrul.org,,,,
24646,Chicago Legal Clinic,,"The Chicago Legal Clinic (CLC) provides low-cost and free legal assistance to disadvantaged individuals in the Chicago area.  Legal services are provided at CLC's four offices located in the Austin, Downtown, Pilsen and South Chicago neighborhoods and at CLC's courthouse-based Advice Desks.",info@clclaw.org,http://www.clclaw.org,,,,
