service_uuid,organization_name,organization_uuid,service_name,service_alternate_name,service_description,service_email,service_url,service_additional_information,service_min_age,service_max_age,service_program,service_income_limit,service_problem_codes,service_require_veteran,service_military_status,service_immigration_status,service_incarceration_status,service_areas,,
5b50b06c-46a4-4739-8774-5d01d0502007,"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Dissolution of Marriage,Petitions/Defenses of divorces,Representation for victims of intimate partner violence,family@legalaid.org,http://www.coasttocoastlegalaid.org/family/,Holistic services provided- assist victims with all related civil legal matters. Walk-ins are to bring in all documents related to case.,18,999,Staff,,Divorce/Separation/Annulment,,,,,Broward County,,
5b50aeff-5524-4062-aa2a-541ed0502007,"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Domestic Violence Representation,Injunction/Restraining Order/Representation,Representation for victims of intimate partner violence,family@legalaid.org,http://www.coasttocoastlegalaid.org/family/,Holistic services provided to assist victims with all related civil legal matters. Walk-ins are to bring all documents related to their case.,18,999,Staff,,Domestic Violence,,,,,Broward County,,
5b50b660-ce6c-45db-a670-029fd0502007,"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Economic Advocacy and Community Health EACH,Public Benefits,"Provides advice, brief service and/or representation to low income Broward County residents in the following areas: healthcare access, public benefits, unemployment compensation",each@legalaid.org,http://www.coasttocoastlegalaid.org/each/,LSC and Ryan White funded. LSC income limit is per LSC income guidelines and Ryan White income limit is 300%.,0,59,Staff,,Board and Care/Assisted living facilities; Food Stamps; Medicaid; Medicare; Other Health; Other Income Maintenance; Social Security; Social Security Disability Benefits; State-funded Medical Assistance Programs; Supplemental Security Income (SSI); TANF; Unemployment Compensation,false,,,,Broward County,,
5b50b1a5-9d18-453f-93b3-645fd0502007,"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Paternity,Petitions/Defenses for Paternity,Representation for victims of intimate partner violence.,family@legalaid.org,http://www.coasttocoastlegalaid.org/family/,Holistic services provided-assist victims with all related civil legal matters. Walk-ins are to bring in all documents related to case.,18,999,Staff,,Paternity,,,,,Broward County,,
5b50b43c-a0b4-4e65-9570-72ced0502007,"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,Senior Citizen Law Project,Senior Law Unit,"Provides legal counseling and/or representation to Broward County residents who are 60 years of age or older in the following areas: Housing, Health/Public Benefits, Consumer, Naturalization and Abuse/Exploitation.",senior@legalaid.org,http://www.coasttocoastlegalaid.org/,"Provides legal counseling and/or representation to Broward County residents who are 60 years of age or older in the following areas: Housing, Health/Public Benefits, Consumer, Naturalization and Abuse/Exploitation. Services are also provided to seniors who are victims of crime and domestic violence of non-intimate partners under the VOCA grant.",60,999,Staff,,Bankruptcy; Board and Care/Assisted living facilities; Civil Rights; Collection/Repossession; Contracts/Warranties; Disability Rights; Discrimination; Domestic Violence; Fair Debt Collection Practices Act; Federally Subsidized Housing; Food Stamps; Foreclosure; Health Insurance; Home and Community Based Care; Homeownership; Immigration; Loans/Installment Purchases/Rentals; Medicaid; Medicare; Mobile Home Issues; Mortgages; Other; Other Civil Rights; Other Consumer; Other Health; Other Housing; Other Income Maintenance; Other Landlord/Tenant; Other Public Housing; Powers of attorney/advance directives/living wills; Predatory Lending; Public Utilities / Energy; Social Security; Social Security Disability Benefits; State-funded Medical Assistance Programs; Supplemental Security Income (SSI); TANF; Unfair and Deceptive Trade Practices,false,,"Applying for VAWA self-petition; Asylee; Conditional Entrant INA(a)(7) (PRIOR TO 4/1/80 ONLY); Domestic Violence (with Related Case); Granted Suspension of  Deportation/Withholding of Removal; H2A Agricultural Worker; Has unmarried U.S. Citizen child under 21; Indigent foreign national seeking assistance under Hague Convention or related federal law (international child abduction); Lawful Permanent Resident (LPR); Married to US Citizen-with pending or approved adjustment of status (green card) application; Parent of a victim of criminal activity (eligible for U Visa)- (victim must be under 21); Parent of minor victim/survivor of battery, extreme cruelty, or sexual assault (including domestic/intimate partner violence); Parent of US Citizen with a pending or approved adjustment of status (green card) application; Parents of a victim of trafficking (victim must be under 21); Refugee; Special Agricultural Worker Temporary Resident  - SAW (with related case); Spouse or children of a victim of criminal activity/U Visa eligible applicant; Spouse or children of a victim of trafficking; United States Citizen; Victim of Criminal Activity (eligible for U Visa); Victim of Trafficking  (18 and over); Victim/Survivor of battery,extreme cruelty,or sexual assault (including domestic / family / intimate partner violence); With U.S. Citizen Parent",Not in custody and no conditions; Post-Disposition Release - Out on Parole; Post-Disposition Release - Out on Probation; Pretrial release = Out on Bond; Pretrial release = Out on own recognizance,Broward County,,
5b4fa269-5150-4b8b-8cb3-7bdad0502007,"Coast to Coast Legal Aid of South Florida, Inc.",edc044f4-b466-40ad-beeb-3abc45b3cb59,VALOR Project,Supportive Services for Veteran Families (SSVF),"Provides advice, brief service and/or representation to low-income veterans who are experiencing homelessness or who are at imminent risk of experiencing homelessness to remove barriers to housing stability. Housing assistance limited to veterans who are age 60+.",valorreferrals@legalaid.org,http://www.coasttocoastlegalaid.org/each/,SSVF grant funded. Requires SSVF enrollment and meeting area medium income eligibility.,,,Staff,,Bankruptcy; Board and Care/Assisted living facilities; Child Support; Collection/Repossession; Discrimination; Employment Discrimination; Expungement; Federally Subsidized Housing; Food Stamps; Foreclosure; Home and Community Based Care; Homeownership; Immigration; License (Auto & Others); Medicaid; Medicare; Mobile Home Issues; Name Change; Other; Other Civil Rights; Other Consumer; Other Housing; Other Income Maintenance; Other Landlord/Tenant; Other Public Housing; Social Security; Social Security Disability Benefits; Supplemental Security Income (SSI); TANF; Unemployment Compensation; Veterans benefits; Wage Claims,true,,,,Broward County,,
5bb643bc-8c68-4a7a-822b-780ad0502006,Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,Community Counsel Program,,Volunteer attorneys assist qualified non-profit organizations with their incorporation and other legal filings and with other transactional legal matters..,clp@lawprogram.org,www.lawprogram.org,,,,Community Counsel,,Nonprofit Law,false,,United States Citizen,,Pinellas County,,
5bb627d7-0ffc-47b2-ab21-4037d0502006,Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,Divorce Forms Class,,Volunteer attorneys teach pro se litigants how to complete all the forms necessary to file for divorce in a classroom style setting.,clp@lawprogram.org,www.lawprogram.org,,,,Divorce Forms Class,185,Divorce/Separation/Annulment,false,,United States Citizen,Not in custody and no conditions; Post-Disposition Release - Out on Parole; Post-Disposition Release - Out on Probation; Pretrial release = Out on Bond; Pretrial release = Out on own recognizance,Pinellas County,,
5bb63db9-e3d0-4550-89c3-5b24d0502006,Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,Family and Civil Legal Advice Clinics,,"Volunteer attorneys provide counsel and advice and limited services to clients seeking help in family law, housing, consumer, and probate matters.",clp@lawprogram.org,www.lawprogram.org,,,,,185,Adoption; Bankruptcy; Child Support; Collection/Repossession; Contracts/Warranties; Custody; Discrimination; Divorce/Separation/Annulment; Domestic Violence; Fair Debt Collection Practices Act; Foreclosure; Homeownership; Loans/Installment Purchases/Rentals; Mobile Home Issues; Mortgages; Name Change; Other Consumer; Other Family; Other Housing; Other Landlord/Tenant; Other Public Housing; Paternity; Predatory Lending; Public Utilities / Energy; Torts; Unemployment Compensation; Unfair and Deceptive Trade Practices; Wage Claims,false,,United States Citizen,Not in custody and no conditions; Post-Disposition Release - Out on Parole; Post-Disposition Release - Out on Probation; Pretrial release = Out on Bond; Pretrial release = Out on own recognizance,Pinellas County,,
5bb644d4-bc5c-4df8-b1dc-7e12d0502006,Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,Lawyers for Young Adults Project,,Volunteer attorneys help young adults formerly in foster care or who are in extended foster care with a variety of civil legal matters.,clp@lawprogram.org,www.lawprogram.org,,,23,IL Program,185,Abuse & Neglect; Bankruptcy; Child Support; Collection/Repossession; Contracts/Warranties; Custody; Divorce/Separation/Annulment; Domestic Violence; Estate Planning; Fair Debt Collection Practices Act; Food Stamps; Foreclosure; License (Auto & Others); Loans/Installment Purchases/Rentals; Medicaid; Mobile Home Issues; Name Change; Other; Other Civil Rights; Other Consumer; Other Family; Other Housing; Other Income Maintenance; Other Landlord/Tenant; Other Public Housing; Paternity; Powers of attorney/advance directives/living wills; Predatory Lending; Public Utilities / Energy; Social Security Disability Benefits; Supplemental Security Income (SSI); TANF; Torts; Unemployment Compensation; Unfair and Deceptive Trade Practices; Wage Claims,false,,United States Citizen,Not in custody and no conditions; Post-Disposition Release - Out on Parole; Post-Disposition Release - Out on Probation; Pretrial release = Out on Bond; Pretrial release = Out on own recognizance,Pinellas County,,
5bb6463c-3af4-4c0d-ac19-025dd0502006,Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,Legal Assistance Project for Victims of Domestic Violence,,Volunteer attorneys provide representation at injunction return hearings and in other family/civil legal matters.,clp@lawprogram.org,www.lawprogram.org,"If there is a pending case, it must have been filed in St. Petersburg.  There are two civil courthouses in Pinellas County.  One is in St. Petersburg; the other is in Clearwater.  We cannot help with Clearwater cases.",,,CASA clinic,,Bankruptcy; Child Support; Divorce/Separation/Annulment; Domestic Violence; Estate Planning; Other Landlord/Tenant; Paternity,false,,United States Citizen,,Pinellas County,,
5bb7e39d-116c-4baa-8a38-3fd3d0502006,Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,Pro Bono Rrpresentation Project,,"Volunteer attorneys accept extended service cases in family law, consumer, housing, criminal records expunction/sealing, probate, and guardian advocacy cases.",clp@lawprogram.org,www.lawprogram.org,"If client needs help with a pending case, the case must be pending in St. Petersburg.  Pinellas County has two civil courthouses.  One is in St. Petersburg; the other is in Clearwater.  We generally do not provide pro bono representation of cases pending in Clearwater.  These referrals should go to Bay Area Legal Services.",,,,,Child Support; Custody; Divorce/Separation/Annulment; Domestic Violence; Estate Planning; Foreclosure; Guardianship & Conservatorship; Homeownership; Minor; Mobile Home Issues; Mortgages; Other Family; Other Housing; Other Landlord/Tenant; Paternity,false,,United States Citizen,Not in custody and no conditions; Post-Disposition Release - Out on Parole; Post-Disposition Release - Out on Probation,Pinellas County,,
5bb6475e-f9bc-4615-9bac-0c18d0502006,Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,Senior Home Ownership Preservation Project (SHOPP),SHOPP,,clp@lawprogram.org,www.lawprogram.org,,,,Housing Clinic,185,Bankruptcy; Foreclosure; Mortgages,false,,United States Citizen,,Pinellas County,,
5bb6405d-c854-42ee-990f-6657d0502006,Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,Wills/Advance Directives Assistance,,"Volunteer attorneys assist clients 60 years of age or over with wills, living wills, powers of attorney, and health care surrogates.",clp@lawprogram.org,www.lawprogram.org,,60,,Elder Law-Sunshine,185,Estate Planning; Powers of attorney/advance directives/living wills,false,,United States Citizen,Not in custody and no conditions; Post-Disposition Release - Out on Parole; Post-Disposition Release - Out on Probation; Pretrial release = Out on Bond; Pretrial release = Out on own recognizance,Pinellas County,,
5bb6480b-af3c-464a-a625-0f25d0502006,Community Law Program,12e17e84-750c-48b4-9ca4-675968d1281f,Wills for Warriors,,"Volunteer attorneys assist veterans and their spouses with wills, living wills, and health care surrogates.  No assistance with powers of attorney is provided.",clp@lawprogram.org,www.lawprogram.org,This is an event held once a year usually in February.,,,,185,Estate Planning; Powers of attorney/advance directives/living wills,true,Retired Military Service; Active Military Service; Discharged Dishonorably; Discharged Honorable,United States Citizen,,Pinellas County,,
5b6dcc1c-7d48-42e2-b7b1-4d1743ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Children's Rights,Children & Education,"The mission and tradition of the Children’s Rights Unit of Community Legal Services of Mid-Florida is to provide equal access and opportunity to all children in the State of Florida, especially those systemically discriminated against by virtue of disability, racial, ethnic, or socio-economic status.",Info@clsmf.org,https://clsmf.org/services/children-education/,,,,Children's Rights,,Discipline; Special Education/Learning Disabilities,false,,,,Brevard County; Citrus County; Flagler County; Hernando County; Lake County; Marion County; Orange County; Osceola County; Putnam County; Seminole County; Sumter County; Volusia County,,
5b7097b2-0d8c-4571-b264-d88643ca458b,Community Legal Services of Mid Florida,ed286ee2-4176-4e58-902a-f65d089838fe,Consumer,Consumer Law,"The Consumer Law Unit focuses on problems related to debt collection, garnishment, repossession, contracts, consumer scams, small claims courts and debtor harassment.",Info@clsmf.org,https://clsmf.org/services/consumer/,,,,,,Bankruptcy; Collection/Repossession; Fair Debt Collection Practices Act; Other Consumer; Wage Claims,false,,,,Brevard County; Citrus County; Flagler County; Hernando County; Lake County; Marion County; Orange County; Osceola County; Putnam County; Seminole County; Sumter County; Volusia County,,
